ID	Text	Label
387	ای کاش تولید یون می‌داشت. در کل مناسبه در شگفت انگیز	[0. 0. 0. 0. 0. 0. 1.]
388	نه طبق ِ مُد دوستت دارم نه به حکم سنت! همه چیز بنا بر فطرت است “خوب ها” دوست داشتنی اند…	[1. 0. 0. 0. 0. 0. 0.]
389	هیچوقت کنسرتای بزرگ و شلوغ و پر هیاهو برام جذابیتی نداشته، حتی مهمونی هم از یه تعدادی بیشترش دیگه اعصابم یاری نمیکنه	[0. 0. 1. 0. 0. 0. 0.]
390	بعد از 2 دقیقه استفاده مثل بخاری داغ میکنه و بی متالش اتومات قطع میکنه خاموش میشه و 10 دقیقه باید صبر کنی تا سرد بشه و وصل بشه و عملاً هیچ کارایی نداره اگه کسی خواست بگه نصف قیمت بهش بدم!	[0. 1. 0. 0. 0. 0. 0.]
391	بسیجی پرو بیشعور.از هرچی بسیجی بدم میاد آخه یکی بگه بتوچه ایتوپی	[0. 0. 0. 0. 0. 1. 0.]
392	نژاد ، دین ، غرور قومی و ملی گرایی هیچ تاثیری ندارند ، به جز اینکه یاد می دهند تا از مردمی که هیچوقت ملاقات نکرده اید متنفر باشید ...! #داگ_استنهوپ	[0. 0. 0. 0. 0. 1. 0.]
393	غم دارم	[0. 1. 0. 0. 0. 0. 0.]
394	-سلام آقا! +سلام ... بفرمایین؟ چی بدم خدمتتون؟ -من از اووووون آسمون آآآبی میخوااااااام... +بفرمایین... دستور این قرصا روی جعبه نوشته شده...	[0. 0. 0. 0. 0. 0. 1.]
395	قابل توجه بعضیا باید گفت که دیدید حضور خانما به ورزشگاه اصلا هم ترسناک نبود! چون بر خلاف تلویزیون کسی از فاصله دور باردار نمیشه!!	[0. 0. 0. 1. 0. 0. 0.]
396	شورای عالی معادن در پی اعتراض سازمان حفاظت محیط زیست نسبت به واگذاری معدن تراورتن میمه واقع در پناهگاه حیاتوحش موته استان اصفهان، پروانه صادر شده برای این معدن را لغو کرد. #محيط_زيست #ميمه #موته	[0. 0. 0. 0. 0. 0. 1.]
397	دوستان واسه اینکه روی مجاهدین خلق کم بشه لطفا در این نظرسنجی شرکت کنید در صورت امکان #ريتوييت_لطفا تا دوستان بیشتری شراکت کنند آیا شما از مجاهدین خلق متنفر هستید	[0. 0. 0. 0. 0. 1. 0.]
398	لعنت بهش. وسط خیابون از عصبانیت نزدیک بود بزنم زیر گریه، یهو با چونهی لرزون عین بچهها به خودم گفتم اصن میرم اصفهان! لعنت بهت کاهو	[0. 0. 1. 0. 0. 0. 0.]
399	لعنت به تموم آشپز خونه های دنیا که کفش خیسه تف به اصل و اساس اون چیزی که باعث میشه همیشه کفه اینجا خیس باشه اه اه اه	[0. 0. 0. 0. 0. 1. 0.]
400	از شما چه پنهون این «سلام برسون» و «فلانی هم سلام میرسونه»های الکی همیشه رو اعصابم بوده و میمونه.	[0. 0. 1. 0. 0. 0. 0.]
401	“ هر که در این بزم مقرب تر است جامبلا بیشترش میدهند شاید خدا خیلی منو دوست داره کاش خدا واقعا دوسم داشته باشه “ تودوربین نگاه کردی اینا رو با خنده گفتی تهش یه اشک ریختی و رفتی؟ خدا تو رو دوست داره. همه تورو دوست دارن. ماییم که موندیم با این داغ رو دلمون.	[0. 1. 0. 0. 0. 0. 0.]
402	جنگ اول به از صلح آخر شاهکلید موفقیت در جامعهای پر از تعارف و رودربایستی...	[0. 0. 0. 0. 0. 0. 1.]
403	تاریکی دسْپامو بسته آنچه بینم ترس مطلقه نه میمیرم، نه میزیم گیر کردم من بدنم محبسهههه	[0. 0. 0. 1. 0. 0. 0.]
404	بچه بودم هر کی میرسید گازم میگرفت اینقدر بدم میومد که تو خاطرم مونده نکنید این کارو بابا …	[0. 0. 0. 0. 0. 1. 0.]
405	راه نجات آرش اعتراض جلو زندان اوینِ نه هشتگ تو توییتر #RescueArashSadeghi	[0. 0. 0. 0. 0. 0. 1.]
406	آقای جهرمی اینترنتمون رو مخابرات خورده. بگو پس بده.من اینترنت مخابراتو نمیخوام اصلا. اون یکساله ای که 15 روز پیش خریدمو میخوام. من اصلا فیبر نوریم نمیخوام دیگه واقعا عصبیم. نمیفهممتون. صادقانه بگین بیار پول بده همینجوری خیلی بهتره, حداقل به شعورمون توهین نمیشه.	[0. 0. 1. 0. 0. 0. 0.]
407	۱/این اولین #رشته_توییت منه و خداکنه آخریش باشه. میخوام توضیح بدم چرا موضوع افزایش ۵۰۰درصدی #عوارض_خروج_از_كشور اینقدر اعصابم رو به هم ریخت، و میخوام که بخونیدش؛ خیلی طولانی نیست/	[0. 0. 1. 0. 0. 0. 0.]
408	منکه اصلا راضی نیستم تو جمعه سیاه خرید کردم هم نشتی داره هم دکمه کم و زیاد کردنش خرابه هنوزم نتونستم پسش بدم چون کسی پاسخگو نیست . بسته بندی هم زیر صفر اصلا نمیشه نمره داد	[0. 1. 0. 0. 0. 0. 0.]
409	آیا ارتباط جنسی بدون رضایت، تجاوز است؟ دادگاههای #اروپا چه میگویند؟	[0. 0. 0. 0. 0. 0. 1.]
410	نه آدمای وحشتزده رو دست میندازیم و نه به وحشت دامن میزنیم #درکنارهمیم	[0. 0. 0. 1. 0. 0. 0.]
411	اعتقاد به هرگونه محدودیت، ناشی از ترس و تعصب است . حدی وجود ندارد، نه برای افکار و نه برای احساسات. این ترس است که حدود را می سازد ... METALLICA  …	[0. 0. 0. 1. 0. 0. 0.]
412	رهبر انقلاب: مسئولان جز در موارد نظامی و امنیتی هیچ رازی را از مردم پنهان نکنند. پ.ن: مساله اینجاست که نگاه آقایان مسئول عموما به همه چیز امنیتی است	[0. 0. 0. 0. 0. 0. 1.]
413	خیلی زوره تا سه هفته مچبند ببندم عملا هیچکاری نمیتونم انجام بدم	[0. 1. 0. 0. 0. 0. 0.]
414	لعنت به این سیستم تخماتیک که ایرانو کنترل میکنه لعنت به همشون …	[0. 0. 1. 0. 0. 0. 0.]
415	دیگه اعصابم بخدا نمیکشه از اینهمه خبر بد?	[0. 1. 0. 0. 0. 0. 0.]
416	همین قدر وحشتناک. #تجاوز_به_کودکان_شوشتر	[0. 0. 0. 1. 0. 0. 0.]
417	شب کریسمس دختر و داماد دکتر #کینژاد عضو شورای عالی انقلاب فرهنگی، که با بورسیه جمهوری اسلامی برای تحصیل در مقطع دکترای معماری به سوئیس رفت و بعد شهروند رسمی آمریکا شد! #ژن_خوب	[0. 0. 0. 0. 0. 0. 1.]
418	يه روزايي از خواب پا ميشم، از همه متنفر ميشم، يه شبايى ام ميخوام بخوابم، از همه متنفرم،	[0. 0. 0. 0. 0. 1. 0.]
419	جای همه خالی عجب بارونی اومد و داره میاد..شاعر چه زیبا گفت... وای باران باران شیشه ی پنجره را باران شست از دل من اما چه کسی نقش تو را خواهد شست؟	[1. 0. 0. 0. 0. 0. 0.]
420	٢- حالا تو يك كشوري مثل ما با توليد پايين ثروت و نرخ بالاي هدررفتِ منابع اين قصه تلخ تر هم ميشه. پس كساني كه ناراحت شدن پيكان انتقادشون رو بايد ببرن سمت ديگه اي./	[0. 1. 0. 0. 0. 0. 0.]
421	روحشون شاد ، سايه حاج آقا حسين زاده مستدام??	[0. 1. 0. 0. 0. 0. 0.]
422	بعضی موقع ها یه قضایای خنده داری پیش میاد که یه لحظه به خودت میگی من هرچقدر هم به این قضیه بخندم کم خندیدم پس بهتره خنده رو اینجا متوقف کنم	[1. 0. 0. 0. 0. 0. 0.]
423	"رهبری به مسئولان کشور: ""بروید در میان مردم"" + تبصره: - با کفش وارد نشوید - خوردو ضد گلوله را دربین جمعیت نبرید - طلبکارشان نباشید - به آنها سربالا جواب نداده و تحقیرشان نکنید - خود را خادم آنها بدانید نه آنها را رعیت خود + اصلا نروید خیلی بهتر است :))"	[0. 0. 0. 0. 0. 0. 1.]
424	فقط 20 درصد از مغزش مونده حتی کلمات را هم به سختی بیان میکنه، چه برسه که بخواد حتی پسرش را بشناسه. عام غلام (عمو غلامرضا) بوسش میکنه، دستش را میگیره و میکشه روی سر خودش: من غلامتم، ننه دعام کن. من فقط سعی میکنم گریه نکنم. شعرهایی که برامون میخوند را یادم نمیاد، لعنت به آلزایمر	[0. 1. 0. 0. 0. 0. 0.]
425	یکی بیاد باهاش دعوا کنم اعصابم بیاد سر جاش	[0. 0. 1. 0. 0. 0. 0.]
426	هر روز تکه ای از خاطراتمان کنده می شود و انگار از درون خالی می شویم خداحافظ پاشنه طلا،خداحافظ داش غلام،بدرود لوطی سینما روحت شاد،مرد بزرگ متواضع #ناصر_ملک_مطیعی	[0. 1. 0. 0. 0. 0. 0.]
427	مرتجع شمایید که کشور را با قوانین کثیف اسلامی اداره میکنید و باعث به لجن کشیده شدن ایران شدید. متوهم هم شمایید که به امید یک امام خیالی و فراری زندگی میکنید. واقعا اعتقادات شما از هر طنزی خنده دارتر است #بشین_تا_بیاد	[0. 0. 1. 0. 0. 0. 0.]
428	اون شرکت کننده وقتی حسنی گفت اینو میشناسی اگه میگفت مادرتون هستن الان اینجوری فرزاد حسنی شاخ نمیشد #فرزاد_حسنی #الهام_چرخنده	[0. 0. 1. 0. 0. 0. 0.]
429	بزرگترین مشکل نظام «اعتیاد» است. «اعتیاد» مسئولان به قدرت! هراسناکتر از هر افیون دیگر ویرانگرتر از هر افسون دیگر	[0. 1. 0. 0. 0. 0. 0.]
430	تحت فشار و استرس این روزا، این رسید به ذهنم که دوباره رو بیارم به کار چوب. این بار نه برای تفریح و لذت، بلکه به عنوان درمان و تسکین.	[1. 0. 0. 0. 0. 0. 0.]
431	ظاهرا مردم مراکش از اینکه عربستان توی رای گیری برای جام جهانی به اونا رای نداده بوده ناراحت بودن ازشون و بعد باخت دیروز عربستان کلی خوشحالی کردن و حالا عربستانیا به تلافی دارن توی هشتگ #المغرب_ايران از بردن ایران حمایت میکنن!	[0. 0. 0. 0. 0. 0. 1.]
432	بچه فیل شجاع ما نشان داد تنها راه برای پیروزی در نبردهای مطلقا نابرابر تهاجم است وقتی تهاجم میکنی میمانی و پیروز میشوی #خیزش_دی۹۷ #دیکتاتور_در_آتش #براندازم jOiN	[0. 0. 0. 0. 0. 0. 1.]
433	سخنان رهبر انقلاب با مردم قم: «رسیدگی به مشکلات معیشتی مردم بهویژه قشرهای ضعیف، مهمترین وظیفهی امروز دولتمردان است و مسئولان باید با هوشیاری، تحریمهای آمریکا را همانند دوران دفاع مقدس به شکستی بیسابقه برای شیطان بزرگ تبدیل کنند» امیدواریم مسولین سخنان رهبر را شنیده باشند	[0. 0. 0. 0. 0. 0. 1.]
434	اصل سی ام قانون اساسی میگه تا حد عالی دولت موظف هست به تامین وسایل آموزشی برای بچه ها. آموزش رایگان که کشک شد توی این مملکت، حداقل یه کاری کنید بچه هامون آتیش نگیرن! #دیکته_آتش	[0. 1. 0. 0. 0. 0. 0.]
435	چرا آذربایجان به جنایتی که #سلمان_خدادادی علیه #زهرا_نویدپور مرتکب شد واکنش نشان نمیدهد؟ خیلی ساده. نفع شخصی ای رو که از سکوت در برابر یک فرد متجاوز ولی پرنفوذ و قدرتمند میبرند به نفع عمومی ای که با اعتراض به مرگ یک زن بی پناه میبرند ترجیح میدهند. #SalmanKhodadadi #RapistRegime	[0. 0. 0. 0. 0. 0. 1.]
436	" تو ""اصلا جوهر نداشتمن میخوام سفارش بدم لطفا قیمتشو برگردونید به همون قبلی ممنون"	[0. 0. 0. 0. 0. 0. 1.]
437	آقای مایک پنس با درود بر شما کشورهای غربی با پیش گرفتن سیاست مماشات با ملاها بیشترین آسیبها را به مردم و مقاومت مردم ایران در #چهل_سال_دیکتاتوری رساندند اکنون زمان برسمیت شناختن تنها جایگزین دموکراتیک #مردم_ایران شورای ملی مقاومت به رهبری #مريم_رجوي است	[0. 0. 0. 0. 0. 0. 1.]
438	اگه ممکنه تو دایرکت توضیح بدم	[0. 0. 0. 0. 0. 0. 1.]
439	شما رویاتونه برید خوشکلترین جاهای دنیا رو ببینید، من توجه کردم همیشه تو رویاهام اینه که برم همون جاها چندساعت تخت بخوابم! این حجم از عشق به خواب عجیبه	[0. 0. 0. 0. 1. 0. 0.]
440	مامانم برام یه پست فرستاده که نوشته اگه بعد قلیون فاز خنده گرفتید تعجب نکتید تازگیا دارن به توتون گل اضافه میکنن. میگم من انقدم بیجنبه نبودم با قلیون خالی چت شم=))	[0. 0. 0. 0. 1. 0. 0.]
441	جنس بدنه خوبه خط بو نداره ولی ماندگاری ش بد نیستعجب بی شرفیه هرچی لایق خودشه بار دختره کرد	[0. 0. 0. 0. 1. 0. 0.]
442	سلام هموطن نفهم من! آفرین که دشواری زندگی کردن در این شهر رو برای سالمندان و کمتوانان و بچهها از اینی که هست هم سختتر میکنی! باریکلا پفیوز! …	[0. 0. 1. 0. 0. 0. 0.]
443	همه عمرم از جمعه ها بدم میومده...و هر جمعه حس تنفرم پایدارتر میشه	[0. 0. 0. 0. 0. 1. 0.]
444	همیشه هر چن وقت یه بار با یه آدم جدید آشنا میشدم و واقعاً خوشحال بودم الان چن وقته هیچ دوس جدیدی نداشتم و این عصبیم میکنه .	[0. 0. 1. 0. 0. 0. 0.]
445	بقاياى اتوبوس واژگون شده دانشگاه #علوم_تحقيقات كه در اثر اين اتفاق ٨ دانشجو پرپر شدند و هيچ مسئولى استعفا نداد و به جايش ضد شورش آوردند و از ترس اعتراض دانشگاه را دوروز تعطيل كردند! اينجا جمهورى اسلامى است...	[0. 0. 0. 1. 0. 0. 0.]
446	انتخاب طبیعی جانداران را در یک مسیر مطلق به پیش نمی راند: او صرفا به موفقیت های تولید مثلی جایزه می دهد، بر مبنای #انتخاب_طبیعی هیچ پیشرفتی بنا بر یک مقیاس #ارزشی مطلق صورت نمی گیرد بلکه صرفا تغییر بدون مقصد است.	[0. 0. 0. 0. 0. 0. 1.]
447	امشب میتونیم یه ساعت بیشتر بخوابیم. ^-^ شادی کنید. -اشکهایش را پاک میکند و به یاد کلاس ۷ و نیم صبحش میفتد-	[0. 1. 0. 0. 0. 0. 0.]
448	" ""کسانی که میخوان متوجه کیفیت واقعی این هدفون بشن با گوشی نمیتوننمتنفرم از رامبد جوان و برنامه مسخره ش"	[0. 0. 0. 0. 0. 1. 0.]
449	بشار اسد چقدر مسخره میخنده حال ادم رو بهم میزنه با این خنده ی مسخرش.	[0. 0. 0. 0. 0. 1. 0.]
450	ميفرمان : هوا را از من بگير خنده ات را نع #تانگو_نامجو	[1. 0. 0. 0. 0. 0. 0.]
451	لعنت بهت مرد. لعنت بهت. لعنت بهت با اون دو دقیقهی انتهایی. …	[0. 0. 1. 0. 0. 0. 0.]
452	اشتباهم این بود هر جا رنجیدم، خندیدم فکر کردند، درد ندارد ضربهها را محکمتر زدند #چارلی_چاپلین	[0. 1. 0. 0. 0. 0. 0.]
453	من هیچ وقت نفهمیدم اون خنده کسشری که آخر چسناله هاتون میذارید چیه خب بدبختی دیگه،بگا رفتی،کونت پاره شده دیگه این :) چه کسشریه؟ عر بزن بدبخت.	[0. 0. 1. 0. 0. 0. 0.]
454	" ""تازه گرفتم و درباره شارژش نمی تونم الان نظر بدمعجیبه! تجربهی مردی که دو هفته در محل کار جاش رو با یک همکار خانوم عوض کرد: من در جهنم بودم - ویرگول"	[0. 0. 0. 0. 1. 0. 0.]
455	مثل شکلات بسته بندی شده با تخفیف ارزش داره. بسته به ذائقه شما داره مزش ولی من بدم نبومد.	[0. 0. 0. 0. 0. 0. 1.]
456	"من توی مغازه گرونتر از این دیدم. به عنوان یک عطر دم دستی خوبه. راضی هستم."""	[0. 0. 0. 0. 0. 0. 1.]
457	کیرشانسی یعنی تصمیم بگیری یه مسیر نیم ساعته رو پیاده بری لذت ببری بعد ۵ دیگه راه رفتن شارژ هدفونت تموم شه و دیگه ماشینم گیرت نیاد	[0. 0. 1. 0. 0. 0. 0.]
458	وفا ژنی مخصوص کردهاست و در اقوام دیگر موجود نیست. آنها که بعد از کمک ایران در مقابله با داعش، به ایران پشت کردند اصلا چیز مهمی نبود و همیشه وفادار مانده اند. احتمالا اینجا منظور از آمریکا، خداست و کوه هم اسرائیل است. وگرنه خروج آمریکا از سوریه نباید اینقدر ترسناک باشد. …	[0. 0. 0. 1. 0. 0. 0.]
459	ملتی که از ترس دلار۵۰۰۰تومانی به روحانی رای داد گرفتار دلار۱۹۰۰۰تومانی شد(ایران) ملتی که از ترس جنگ، هستهای و موشک خود را از بین برد،گرفتار جنگ شد(لیبی وصدام) ملتی که از ترس تحریم،برجام را پذیرفت گرفتار مادر تحریمها شد(ایران) ترس روی دیگر مرگ است و هربار ما برای ترس آغوش گشودیم	[0. 0. 0. 1. 0. 0. 0.]
460	ولی من به جای لذت مرور خاطرات، به همهی کافههایی که نرفتیم، چای و قهوههایی که نخوردیم، جملههایی که نگفتیم و قدمهایی که نزدیم فکر میکنم!	[0. 1. 0. 0. 0. 0. 0.]
461	کاش میشد یکی دو نفرو گاز بگیرم این حجم خشم و عصبانیتم کم شه	[0. 0. 1. 0. 0. 0. 0.]
462	" ""با سلام واحترامدلم چندبار گرفته از رفتناتون چقدر حسرت ندیدنتون ، آغوشتون و بوسههاتون رو خوردم . چقدر تو خوشحالی و غم دور بودیم از هم . چقدر دلم برای بوی تک تکتون تنگ شده. مهاجرت خانواده و دوست رو خرخرهی من تا ابد ، لعنت به فرودگاه و چمدوناتون . #InternationalMigrantDay"	[0. 1. 0. 0. 0. 0. 0.]
463	روزگاری بود اروپایی بودکه میگفت مهد تمدن و حقوق بشر است هرجاظلمی بود اعتراض میکردبیانیه مینوشت حمایت میکردتااینکه عده ای باخورجینهای پول وطلا راه اروپارا یادگرفتند از ان روز همه دفاتر حقوق بشری تعطیل شدند اروپااعتبارش رافروخت و شد سرزمینی سرد و خاموش #EUchoosePEOPLEoverIR	[0. 1. 0. 0. 0. 0. 0.]
464	وای چه قد دوسش دارم کاش هرجا هس دلش شاد باشه	[1. 0. 0. 0. 0. 0. 0.]
465	نه دیگه از زنان بیشتر متنفر شدم	[0. 0. 0. 0. 0. 1. 0.]
466	شب جمعه خوش گذشت ؟	[0. 0. 0. 0. 0. 0. 1.]
467	هاشً لالله که عجب زیبارویانی اینجا هست. شگفتا واقعن.	[0. 0. 0. 0. 1. 0. 0.]
468	اگر هم علامتی دال بربازگشت عنقریب سلطنت وجودنداشته باشدهمین ترس و وحشت مصدقی ها وتوده ای های خائن پیشین و خائنین مجاهد و فدایی و ملی مذهبی و روشنفکر چپ و راست امروز بهترین نشانه آن است که این دشمنان همیشگی ایران آزاد و اباد مشروطه بوی نابودی خود را به مشام گرفته اند. #VivaPahalvi	[0. 0. 0. 1. 0. 0. 0.]
469	در قسمت سوم سراغ شاهکلید موفقیت  در ۱۲ سال گذشته یعنی «محتوا» رفتم؛ جایی که مدیریتش با  هست. در گزارش میخونیم که «کانتنت فکتوری» چطور کار میکنه و کسبوکار آنلاین چقدر به محتوای مناسب متکی هست، چون اعتماد برپایهاش شکل میگیره.	[0. 0. 0. 0. 0. 0. 1.]
470	" ""بسیار خوب و ولتاژ و پرامترهای ان مناسب با گوشی بود . قیمت نیز عالی بود اما بسته بندی میتوانست شکیل تر باشدکودکان دبستانی هم میتوانند با هم ازدواج کنند #حسن_رحیمپور_ازغدی،عضو شورای عالی انقلاب فرهنگی، میگوید کودکان حتی در دوران دبستان میتوانند ازدواج کنند. عجب مسخره بازی شده؟ ازدواج"	[0. 0. 0. 0. 1. 0. 0.]
471	" ""من اینو تو دیجی دیدمما میتونیم خیلی چیزها به آدمهای اطرافمون هدیه کنیم... مثل عشق ، لذت و محبت ... اما لیاقتِ داشتنِ اینها رو ، ما نمیتونیم بهشون بدیم ...! #ژواکیم_ماشادو_آسیس"	[0. 0. 0. 0. 0. 0. 1.]
472	بیا شارژ ده تومنی بهت بدم نکن این کارا رو ?	[0. 0. 0. 0. 0. 0. 1.]
473	لعنت به پیتزایی که معلم پنجاه ساله اول راهنماییم پیک موتوریش باشه . لعنت به من . لعنت به جبر ، لعنت به این اقتصاد مریض چقدر خجالت کشیدیم	[0. 1. 0. 0. 0. 0. 0.]
474	مث یه مردچهلساله که وسط مهمونی فامیلی و صدای همهمه و خنده، از بین لباسهای نو و صورتهای آرایش کرده، چشمش میفته به صورت زیبا و لباس ساده و ارزون همسرش و همهمهها براش نامفهوم میشن درحالی که عشق به همسرش خونِش رو به جوش میاره، از خودش متنفر میشه که همسرش لیاقت زندگی بهتری رو داشت	[0. 0. 0. 0. 0. 1. 0.]
475	تقریباً کلاس کم رفتم تو زندگیم. کلاس زبان البته فرق داره ولی تقریباً هیچ کلاسی نیست که رو اعصابم نره. دلیلش هم ناآگاهی معلمشه نسبت به چیزی که درس میده و این که خیلی سطحیه.	[0. 0. 1. 0. 0. 0. 0.]
476	مدیرم اکانتم رو فالو داشت. بلاکش کردم. تبریک میگم چه پیگیر	[0. 0. 0. 0. 0. 0. 1.]
477	داستان موفقیت استارتاپ یورباتلر از زبان موسس آن	[0. 0. 0. 0. 0. 0. 1.]
478	چطوری توییتا رو میخونید رد میشید امروز من یه فیو لیمیت شدم اعصابم خورد شده بود نمیتونستم فیو بزنم	[0. 0. 1. 0. 0. 0. 0.]
479	یک آگهی تبلیغاتی خوب... دو قانون موفقیت: ۱- هرگز همه دانستههات رو لو نده	[1. 0. 0. 0. 0. 0. 0.]
480	عزيزان، فمنيسم به معني اجازه تجاوز به هر فرد مذكر نيست	[0. 0. 0. 0. 0. 0. 1.]
481	از ضعف همیشگی گل خوردیم اعتراض به داور #ایران_ژاپن	[0. 1. 0. 0. 0. 0. 0.]
482	مبارک  باشه،چه عجب بالاخره یکی از فالور ها برنده شد?????????????????????✅✅✅	[1. 0. 0. 0. 0. 0. 0.]
483	یادم باشه به بچه ها دایزکت بدم کلاس سع تارو از فردا شروع کنیم	[0. 0. 0. 0. 0. 0. 1.]
484	مادرم روزی پنج تومان صبح ها می گذاشت کف دستم که سر راه مدرسه از نانوایی کنار مدرسه شیرمال بخر ببر زنگ تفریح بخور. پول را قایم می کردمو مادرم می پرسید خریدی خوردی می گفتم آره. صد و بیست تومن که میشد می رفتم کتاب ژول ورن می خریدم و کیف می کردم. دلم می خواست روزی ده تومان می دادند. …	[1. 0. 0. 0. 0. 0. 0.]
485	فقط با ترس و وحشت میخوان نظامشونو حفظ کنن.‌	[0. 0. 0. 1. 0. 0. 0.]
486	بعضی از شرکتهای سازنده گوشی نسبت به امکانات گوشی قیمتهایی طرح میکنند که آدم شاخ در میاره که این شرکت هم یکی از اونهاست	[0. 0. 0. 0. 1. 0. 0.]
487	امشب بدجوری بی اعصابم خدا کنه از دانشگاه تا خونه کسیو جرواجر نکنم!	[0. 0. 1. 0. 0. 0. 0.]
488	به گرانی شدید #دنت از ۱۲۰۰ به ۲۲۰۰ تومن اعتراض دارم! دیگه خوشی های ساده زندگی م هم داره حذف میشه.	[0. 1. 0. 0. 0. 0. 0.]
489	اگر سخنگوی وزارتخارجه گفته باشد «ایران هیچ نیروی نظامی در سوریه ندارد» منظورشان این بوده که ایران یگان نظامی در سوریه ندارد و صهیونیستها خوب میدانند که اقتدار و ابهت یگانهای نظامی ایران به حدی است که اگر حضور حتی یکی از آنها را در سوریه ببینند، از ترس قالب تهی خواهند کرد.	[0. 0. 0. 0. 0. 0. 1.]
490	این فیلم، تصویر واقعی شادی را نشان میدهد. زمانی که یک میوزین پروتئین یک توپچه اندروفین را، بر روی فیبرهای مغزی به سمت کورتکس مغز انتقال بدهد، حس شادی ایجاد خواهد شد. این فرایند فیزیکی، مسبب همه شادیهایی است که تا کنون حس کردهاید و حس خواهید کرد. شاد باشید.	[1. 0. 0. 0. 0. 0. 0.]
491	سال خیلی عجیب و خوبی بود. خیلی اتفاقا هم افتاد که فکرشم نمیکردم. عجب سالی بشه ۹۷. …	[0. 0. 0. 0. 1. 0. 0.]
492	هزار مرتبه گفتم که : دوستت دارم هزار مرتبه ... این جمله را ... هدر دادم . #حامد_ابراهیم_پور	[0. 1. 0. 0. 0. 0. 0.]
493	حالا اعتراض دستهجمعی چند بار تو تاریخ فوتبال کلا جواب داده؟	[0. 0. 0. 0. 0. 0. 1.]
494	من این کیفو در پیشنهاد شگفت انگیز یک سوم قیمت خریدم و به نظرم بیشتر از اون نمی ارزه. رنگ کرمش را گرفتم که کمی تیره تر از عکسش بود و دو بار چرخ شده بود جای دوختها و نخ اول دوباره خارج شده بود و سوراخهای رد دوخت قبلی روی کیف مشخص بود.	[0. 1. 0. 0. 0. 0. 0.]
495	امروز شروین بهم گفت تو که میگی من رشد کردم، ساک ایت آپ و خلاصه تحمل کن و چرا واکنش شدید نشون دادی و اینا اصن انقد بدم میاد یکی باهام اینطوری منطقی حرف بزنه. ایش	[0. 0. 0. 0. 0. 1. 0.]
496	"اندکی ""سراب روزهای خوب آینده"" توی یخچال گذاشتم که تازه بمونه. عصرهای ملال معمولاً یه کم ازش میخورم که تازه بشم و ادامه بدم."	[0. 1. 0. 0. 0. 0. 0.]
497	ازری باباته و هفت جدوابادت بعدشم واسه بابات متاسف باش که بی غیرتی مثل تورو عمل اورده. من همشهری ندارم که مثل تو ساتقن باشه پس خودتو قاطی همشهریام نکن	[0. 0. 1. 0. 0. 0. 0.]
498	الان دلم میخواد چندتا آخوند رو آتیش بزنم از خاکسترشون یه آدمک بسازم و بهش تجاوز کنم.	[0. 0. 1. 0. 0. 0. 0.]
499	جمعه گروهی از کاربران توییتر در اعتراض به مسدود نکردن اکانت توییتر الکس جونز قصد دیاکتیو کردن اکانتشونو دارن. جونز و کانالهاش در یوتوب، فیسبوک و اپل به دلایلی نظیر پخش مطالبی در تایید تئوری توطئه و دیدگاههای نفرتزا قبلا مسدود شدن. اگر توییتر فارسی رو میدیدن چی کار میکردن	[0. 0. 0. 0. 0. 0. 1.]
500	روباهی که سرش درون یک دبه پلاستیکی رها شده در طبیعت گیر کرده بود توسط کوهنوردان نجات پیدا کرد. رها شدن زباله در طبیعت ایران، تبدیل به یک بحران جدی شده است. نه مردم رعایت میکنند و نه مسئولان چارهای برای دفع زبالهها میاندیشند. #محیط_زیست #حیات_وحش	[0. 1. 0. 0. 0. 0. 0.]
501	خدا با زنان مهربانتر است امام رضا(ع) از پیامبر(ص) روایت کرد که فرمود: خدای متعال با زنان مهربانتر از مردان است و اگر مردی یکی از زنان مَحرَم خود را شاد کند، خدای متعال او را در روز قیامت شاد میکند. کافی، ج6، ص6	[1. 0. 0. 0. 0. 0. 0.]
502	ضمن تبریک به این شاعر خوش چهره و افغانهای عزیز امیدوارم تیپ و چهره شاعران ملاک نبوده باشه …	[0. 0. 0. 0. 0. 0. 1.]
503	عجب دینی دارین شماها اخه اون خانم هم سن مادربزرگه ارمینه مگه میشه نظر بدی بهش داشته باشه خدا خودتونو شرعتونو زمین گیر کنه	[0. 0. 0. 0. 1. 0. 0.]
504	اول اینکه نظر کسی برام وقتی مهمه که خود اون شخص برام مهم باشه دوم اینکه اگه اون نظرو دوست نداشته باشم و شخصی که نظر داده مهم باشه ترجیح میدم دیگه اون شخص مهم نباشه کلا آدم انتقاد پذیری نیستم خب چطور بگم !!	[0. 0. 0. 0. 0. 0. 1.]
505	هر سال بیشتر از #احسان_علیخانی و برنامه #ماه_عسل متنفر میشم،اونایی که امشبو دیدن متوجه میشن که نفر اول و نفر آخر رو همزمان اعلام نمیکنن!	[0. 0. 0. 0. 0. 1. 0.]
506	چرا از این اتفاقا توی شهرما نمیفته یا جلو من پیش نمیاد که یه حالی به طرفی که امربه معروف میکنه بدم	[0. 0. 1. 0. 0. 0. 0.]
